FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
|CR|need|need|neat|need|nasal|stop|offset|training|d|1|93|NEED|right|M4|M4_CR_70dB_need
R|FL|win|win|win|wing|approximant|nasal|offset|training||0|94|WIN|left|M4|M4_FL_70dB_win
V|FL|sun|sun|sun|soon|fricative|nasal|vowel|training||0|95|SUN|left|M4|M4_FL_70dB_sun
R|FL|peach|peach|beach|peach|stop|affricate|onset|training||1|96|PEACH|right|M4|M4_FL_70dB_peach
|CR|ride|ride|right|ride|liquid|stop|offset|training|d|1|97|RIDE|right|M4|M4_CR_70dB_ride
R|FL|pies|pies|buys|pies|stop|fricative|onset|training||1|98|PIES|right|M4|M4_FL_70dB_pies
|FL|though|though|though|so|fricative|vowel|onset|training||0|99|THOUGH|left|M4|M4_FL_70dB_though
|CR|look|look|luck|look|liquid|stop|vowel|training|k|1|100|LOOK|right|M4|M4_CR_70dB_look
|FL|train|train|train|chain|stop|nasal|onset|training||0|101|TRAIN|left|M4|M4_FL_70dB_train
|FL|path|path|pass|path|stop|fricative|offset|training||1|102|PATH|right|M4|M4_FL_70dB_path
|FL|clown|clown|clone|clown|stop|nasal|vowel|training||1|103|CLOWN|right|M4|M4_FL_70dB_clown
|CR|head|head|head|heck|fricative|stop|offset|training|d|0|104|HEAD|left|M4|M4_CR_70dB_head
|FL|lose|lose|lose|loose|liquid|fricative|offset|training||0|105|LOSE|left|M4|M4_FL_70dB_lose
R|FL|sin|sin|sing|sin|fricative|nasal|offset|training||1|106|SIN|right|M4|M4_FL_70dB_sin
|FL|falls|falls|falls|false|fricative|fricative|offset|training||0|107|FALLS|left|M4|M4_FL_70dB_falls
|CR|white|white|white|wide|approximant|stop|offset|training|t|0|108|WHITE|left|M4|M4_CR_70dB_white
V|FL|green|green|grin|green|stop|nasal|vowel|training||1|109|GREEN|right|M4|M4_FL_70dB_green
R|FL|seen|seen|seem|seen|fricative|nasal|offset|training||1|110|SEEN|right|M4|M4_FL_70dB_seen
|CR|vet|vet|wet|vet|fricative|stop|onset|training|t|1|111|VET|right|M4|M4_CR_70dB_vet
V|FL|cords|cords|cords|cores|stop|fricative|offset|training||0|112|CORDS|left|M4|M4_FL_70dB_cords
R|FL|gown|gown|gown|gone|stop|nasal|vowel|training||0|113|GOWN|left|M4|M4_FL_70dB_gown
|CR|find|find|find|fond|fricative|stop|vowel|training|d|0|114|FIND|left|M4|M4_CR_70dB_find
|FL|holds|holds|holes|holds|fricative|fricative|offset|training||1|115|HOLDS|right|M4|M4_FL_70dB_holds
|FL|clear|clear|clear|queer|stop|liquid|onset|training||0|116|CLEAR|left|M4|M4_FL_70dB_clear
|CR|hood|hood|hood|hook|fricative|stop|offset|training|d|0|117|HOOD|left|M4|M4_CR_70dB_hood
|FL|rang|rang|ran|rang|liquid|nasal|offset|training||1|118|RANG|right|M4|M4_FL_70dB_rang
R|FL|buys|buys|buys|pies|stop|fricative|onset|training||0|119|BUYS|left|M4|M4_FL_70dB_buys
|CR|lab|lab|lap|lab|liquid|stop|offset|training|b|1|120|LAB|right|M4|M4_CR_70dB_lab
V|FL|vine|vine|vein|vine|fricative|nasal|vowel|training||1|121|VINE|right|M4|M4_FL_70dB_vine
R|FL|tan|tan|ten|tan|stop|nasal|vowel|training||1|122|TAN|right|M4|M4_FL_70dB_tan
R|FL|came|came|came|cane|stop|nasal|offset|training||0|123|CAME|left|M4|M4_FL_70dB_came
|CR|pond|pond|pound|pond|stop|stop|vowel|training|d|1|124|POND|right|M4|M4_CR_70dB_pond
|FL|bathe|bathe|bathe|base|stop|fricative|offset|training||0|125|BATHE|left|M4|M4_FL_70dB_bathe
V|FL|glean|glean|glean|green|stop|nasal|onset|training||0|126|GLEAN|left|M4|M4_FL_70dB_glean
|CR|pot|pot|pot|pod|stop|stop|offset|training|t|0|127|POT|left|M4|M4_CR_70dB_pot
|FL|they|they|say|they|fricative|vowel|onset|training||1|128|THEY|right|M4|M4_FL_70dB_they
|CR|aid|aid|ate|aid|vowel|stop|offset|training|d|1|129|AID|right|M4|M4_CR_70dB_aid
R|FL|beach|beach|peach|beach|stop|affricate|onset|training||1|130|BEACH|right|M4|M4_FL_70dB_beach
