FillerType|TrialType|Word|Target|Visual1|Visual2|Onset|Offset|Contrast|Phase|final_stop|Left/Right|Order|Tokenname|CorrectAnswer|TrainSpeaker|Filename
|CR|said|said|said|set|fricative|stop|offset|training|d|0|45|SAID|left|M15|M15_CR_70dB_said
R|FL|fool|fool|fall|fool|fricative|liquid|vowel|training||1|46|FOOL|right|M15|M15_FL_70dB_fool
|FL|clean|clean|clean|queen|stop|nasal|onset|training||0|47|CLEAN|left|M15|M15_FL_70dB_clean
|CR|shot|shot|shot|shock|fricative|stop|offset|training|t|0|48|SHOT|left|M15|M15_CR_70dB_shot
R|FL|tie|tie|die|tie|stop|vowel|onset|training||1|49|TIE|right|M15|M15_FL_70dB_tie
V|FL|some|some|some|sun|fricative|nasal|offset|training||0|50|SOME|left|M15|M15_FL_70dB_some
|CR|neat|neat|need|neat|nasal|stop|offset|training|t|1|51|NEAT|right|M15|M15_CR_70dB_neat
|FL|carve|carve|car|carve|stop|fricative|offset|training||1|52|CARVE|right|M15|M15_FL_70dB_carve
R|FL|gone|gone|gown|gone|stop|nasal|vowel|training||1|53|GONE|right|M15|M15_FL_70dB_gone
|CR|pat|pat|pat|pad|stop|stop|offset|training|t|0|54|PAT|left|M15|M15_CR_70dB_pat
|FL|fun|fun|phone|fun|fricative|nasal|vowel|training||1|55|FUN|right|M15|M15_FL_70dB_fun
|CR|not|not|nod|not|nasal|stop|offset|training|t|1|56|NOT|right|M15|M15_CR_70dB_not
R|FL|wing|wing|wing|win|approximant|nasal|offset|training||0|57|WING|left|M15|M15_FL_70dB_wing
|FL|serve|serve|sir|serve|fricative|fricative|offset|training||1|58|SERVE|right|M15|M15_FL_70dB_serve
|CR|good|good|good|could|stop|stop|onset|training|d|0|59|GOOD|left|M15|M15_CR_70dB_good
|CR|dig|dig|dig|dick|stop|stop|offset|training|g|0|60|DIG|left|M15|M15_CR_70dB_dig
R|FL|dime|dime|dime|time|stop|nasal|onset|training||0|61|DIME|left|M15|M15_FL_70dB_dime
|FL|curve|curve|curb|curve|stop|fricative|offset|training||1|62|CURVE|right|M15|M15_FL_70dB_curve
|CR|wait|wait|wade|wait|approximant|stop|offset|training|t|1|63|WAIT|right|M15|M15_CR_70dB_wait
|FL|gong|gong|gong|gone|stop|nasal|offset|training||0|64|GONG|left|M15|M15_FL_70dB_gong
|CR|bed|bed|bed|bet|stop|stop|offset|training|d|0|65|BED|left|M15|M15_CR_70dB_bed
R|FL|pull|pull|pool|pull|stop|liquid|vowel|training||1|66|PULL|right|M15|M15_FL_70dB_pull
V|FL|thin|thin|thing|thin|fricative|nasal|offset|training||1|67|THIN|right|M15|M15_FL_70dB_thin
|CR|late|late|late|laid|liquid|stop|offset|training|t|0|68|LATE|left|M15|M15_CR_70dB_late
|CR|lib|lib|lip|lib|liquid|stop|offset|training|b|1|69|LIB|right|M15|M15_CR_70dB_lib
|FL|game|game|game|came|stop|nasal|onset|training||0|70|GAME|left|M15|M15_FL_70dB_game
|CR|shout|shout|shot|shout|fricative|stop|vowel|training|t|1|71|SHOUT|right|M15|M15_CR_70dB_shout
V|FL|cores|cores|course|cores|stop|fricative|offset|training||1|72|CORES|right|M15|M15_FL_70dB_cores
V|FL|vein|vein|vein|wane|fricative|nasal|onset|training||0|73|VEIN|left|M15|M15_FL_70dB_vein
|CR|bad|bad|bad|bat|stop|stop|offset|training|d|0|74|BAD|left|M15|M15_CR_70dB_bad
|FL|rove|rove|robe|rove|liquid|fricative|offset|training||1|75|ROVE|right|M15|M15_FL_70dB_rove
|CR|got|got|god|got|stop|stop|offset|training|t|1|76|GOT|right|M15|M15_CR_70dB_got
V|FL|gum|gum|gum|gun|stop|nasal|offset|training||0|77|GUM|left|M15|M15_FL_70dB_gum
|CR|pet|pet|peck|pet|stop|stop|offset|training|t|1|78|PET|right|M15|M15_CR_70dB_pet
|FL|herds|herds|herds|hers|fricative|fricative|offset|training||0|79|HERDS|left|M15|M15_FL_70dB_herds
|CR|night|night|neck|night|nasal|stop|vowel|training|t|1|80|NIGHT|right|M15|M15_CR_70dB_night
R|FL|groom|groom|groom|gloom|stop|nasal|onset|training||0|81|GROOM|left|M15|M15_FL_70dB_groom
|FL|sends|sends|sends|sense|fricative|fricative|offset|training||0|82|SENDS|left|M15|M15_FL_70dB_sends
R|FL|sing|sing|sing|sin|fricative|nasal|offset|training||0|83|SING|left|M15|M15_FL_70dB_sing
|CR|clock|clock|clock|clog|stop|stop|offset|training|k|0|84|CLOCK|left|M15|M15_CR_70dB_clock
|FL|tomb|tomb|tune|tomb|stop|nasal|offset|training||1|85|TOMB|right|M15|M15_FL_70dB_tomb
|FL|town|town|town|tone|stop|nasal|vowel|training||0|86|TOWN|left|M15|M15_FL_70dB_town
|CR|lap|lap|lab|lap|liquid|stop|offset|training|p|1|87|LAP|right|M15|M15_CR_70dB_lap
|CR|drug|drug|drug|jug|stop|stop|onset|training|g|0|88|DRUG|left|M15|M15_CR_70dB_drug
|FL|fail|fail|fell|fail|fricative|liquid|vowel|training||1|89|FAIL|right|M15|M15_FL_70dB_fail
|CR|cut|cut|cut|cup|stop|stop|offset|training|t|0|90|CUT|left|M15|M15_CR_70dB_cut
|FL|bull|bull|bull|ball|stop|liquid|vowel|training||0|91|BULL|left|M15|M15_FL_70dB_bull
|FL|breathe|breathe|breeze|breathe|stop|fricative|offset|training||1|92|BREATHE|right|M15|M15_FL_70dB_breathe
|CR|pound|pound|pond|pound|stop|stop|vowel|training|d|1|93|POUND|right|M15|M15_CR_70dB_pound
V|FL|pain|pain|pain|pen|stop|nasal|vowel|training||0|94|PAIN|left|M15|M15_FL_70dB_pain
|CR|bag|bag|bag|bat|stop|stop|offset|training|g|0|95|BAG|left|M15|M15_CR_70dB_bag
|FL|draw|draw|draw|jaw|stop|vowel|onset|training||0|96|DRAW|left|M15|M15_FL_70dB_draw
R|FL|ten|ten|tan|ten|stop|nasal|vowel|training||1|97|TEN|right|M15|M15_FL_70dB_ten
|CR|lip|lip|lip|lib|liquid|stop|offset|training|p|0|98|LIP|left|M15|M15_CR_70dB_lip
|FL|verve|verve|verb|verve|fricative|fricative|offset|training||1|99|VERVE|right|M15|M15_FL_70dB_verve
|CR|mob|mob|mop|mob|nasal|stop|offset|training|b|1|100|MOB|right|M15|M15_CR_70dB_mob
R|FL|fall|fall|fool|fall|fricative|liquid|vowel|training||1|101|FALL|right|M15|M15_FL_70dB_fall
|CR|rode|rode|rode|wrote|liquid|stop|offset|training|d|0|102|RODE|left|M15|M15_CR_70dB_rode
|CR|sad|sad|sad|sat|fricative|stop|offset|training|d|0|103|SAD|left|M15|M15_CR_70dB_sad
R|FL|time|time|dime|time|stop|nasal|onset|training||1|104|TIME|right|M15|M15_FL_70dB_time
V|FL|soon|soon|soon|sewn|fricative|nasal|vowel|training||0|105|SOON|left|M15|M15_FL_70dB_soon
|CR|gild|gild|guilt|gild|stop|stop|offset|training|d|1|106|GILD|right|M15|M15_CR_70dB_gild
R|FL|gloom|gloom|gloom|groom|stop|nasal|onset|training||0|107|GLOOM|left|M15|M15_FL_70dB_gloom
|CR|cop|cop|cob|cop|stop|stop|offset|training|p|1|108|COP|right|M15|M15_CR_70dB_cop
V|FL|gun|gun|gum|gun|stop|nasal|offset|training||1|109|GUN|right|M15|M15_FL_70dB_gun
|FL|tune|tune|tone|tune|stop|nasal|vowel|training||1|110|TUNE|right|M15|M15_FL_70dB_tune
|CR|god|god|god|got|stop|stop|offset|training|d|0|111|GOD|left|M15|M15_CR_70dB_god
|FL|fields|fields|fields|feels|fricative|fricative|offset|training||0|112|FIELDS|left|M15|M15_FL_70dB_fields
|CR|slide|slide|slide|slight|fricative|stop|offset|training|d|0|113|SLIDE|left|M15|M15_CR_70dB_slide
R|FL|die|die|tie|die|stop|vowel|onset|training||1|114|DIE|right|M15|M15_FL_70dB_die
|FL|robes|robes|ropes|robes|liquid|fricative|offset|training||1|115|ROBES|right|M15|M15_FL_70dB_robes
R|FL|team|team|team|teen|fricative|nasal|offset|training||0|116|TEAM|left|M15|M15_FL_70dB_team
|CR|tuck|tuck|tug|tuck|stop|stop|offset|training|k|1|117|TUCK|right|M15|M15_CR_70dB_tuck
|FL|live|live|live|lib|liquid|fricative|offset|training||0|118|LIVE|left|M15|M15_FL_70dB_live
|CR|mop|mop|mop|mob|nasal|stop|offset|training|p|0|119|MOP|left|M15|M15_CR_70dB_mop
R|FL|pool|pool|pull|pool|stop|liquid|vowel|training||1|120|POOL|right|M15|M15_FL_70dB_pool
R|FL|teen|teen|team|teen|fricative|nasal|offset|training||1|121|TEEN|right|M15|M15_FL_70dB_teen
|CR|hut|hut|hug|hut|fricative|stop|offset|training|t|1|122|HUT|right|M15|M15_CR_70dB_hut
V|FL|ram|ram|ram|ran|liquid|nasal|offset|training||0|123|RAM|left|M15|M15_FL_70dB_ram
|CR|sit|sit|sick|sit|fricative|stop|offset|training|t|1|124|SIT|right|M15|M15_CR_70dB_sit
|FL|cards|cards|cars|cards|stop|fricative|offset|training||1|125|CARDS|right|M15|M15_FL_70dB_cards
|FL|peas|peas|peas|peace|stop|fricative|offset|training||0|126|PEAS|left|M15|M15_FL_70dB_peas
|CR|lad|lad|lad|lab|liquid|stop|offset|training|d|0|127|LAD|left|M15|M15_CR_70dB_lad
V|FL|thing|thing|sing|thing|fricative|nasal|onset|training||1|128|THING|right|M15|M15_FL_70dB_thing
|FL|room|room|room|roam|liquid|nasal|vowel|training||0|129|ROOM|left|M15|M15_FL_70dB_room
R|FL|cane|cane|cane|came|stop|nasal|offset|training||0|130|CANE|left|M15|M15_FL_70dB_cane
